28,Cobro remesa nº 103 FACTURA N. C/7959 - 1,50,2021-9-1,2023-07-36190
39,Devolucion de factura,25,2021-8-4,2023-07-36191
39,Cobro remesa nº 92 FACTURA N. C/6966 - 1,25,2021-8-5,2023-07-36192
39,Cobro remesa nº 89 FACTURA N. C/6966 - 1,25,2021-8-2,2023-07-36193
39,Cobro remesa nº 83 FACTURA N. C/5990 - 1,27.5,2021-7-1,2023-07-36194
39,Cobro remesa nº 4 FACTURA N. C/65 - 1,50,2019-11-4,2023-07-36195
39,Cobro remesa nº 38 FACTURA N. C/5267 - 1,50,2020-8-3,2023-07-36196
39,Cobro remesa nº 35 FACTURA N. C/4197 - 1,50,2020-7-1,2023-07-36197
39,Cobro remesa nº 29 FACTURA N. C/3191 - 1,50,2020-6-1,2023-07-36198
39,Cobro remesa nº 26 FACTURA N. C/2225 - 1,50,2020-5-4,2023-07-36199
39,Cobro remesa nº 24 FACTURA N. C/1287 - 1,50,2020-4-1,2023-07-36200
39,Cobro remesa nº 21 FACTURA N. C/721 - 1,50,2020-3-2,2023-07-36201
39,Cobro remesa nº 20 FACTURA N. C/341 - 1,50,2020-2-3,2023-07-36202
39,Cobro remesa nº 195 FACTURA N. C/5391 - 1,25,2023-6-1,2023-07-36203
39,Cobro remesa nº 187 FACTURA N. C/4228 - 1,25,2023-5-1,2023-07-36204
39,Cobro remesa nº 184 FACTURA N. C/3152 - 1,25,2023-4-3,2023-07-36205
39,Cobro remesa nº 182 FACTURA N. C/2066 - 1,25,2023-3-3,2023-07-36206
39,Cobro remesa nº 18 FACTURA N. C/32 - 1,50,2020-1-1,2023-07-36207
39,Cobro remesa nº 174 FACTURA N. C/1026 - 1,25,2023-2-2,2023-07-36208
39,Cobro remesa nº 172 FACTURA N. C/22 - 1,25,2023-1-2,2023-07-36209
39,Cobro remesa nº 167 FACTURA N. C/10849 - 1,25,2022-12-2,2023-07-36210
39,Cobro remesa nº 163 FACTURA N. C/9849 - 1,25,2022-11-2,2023-07-36211
39,Cobro remesa nº 158 FACTURA N. C/8799 - 1,25,2022-10-1,2023-07-36212
39,Cobro remesa nº 155 FACTURA N. C/7779 - 1,25,2022-9-1,2023-07-36213
